Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ClockSpeed,DisplayType
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,116500.0,2.3GHz,IPS Panel Retina Display
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,78100.0,1.8GHz,
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,50000.0,2.5GHz,Full HD
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83kg,220700.0,2.7GHz,IPS Panel Retina Display
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,Intel Core i5,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,156900.0,3.1GHz,IPS Panel Retina Display
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9 Series 9420,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.1kg,34800.0,3GHz,
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,Intel Core i7,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg,186100.0,2.2GHz,IPS Panel Retina Display
Apple,Macbook Air,Ultrabook,13.3,1440x900,Intel Core i5,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,100700.0,1.8GHz,
Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,Intel Core i7 8550U,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3kg,130100.0,1.8GHz,Full HD
Acer,Swift 3,Ultrabook,14.0,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,661000.0,1.6GHz,IPS Panel Full HD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,34200.0,2.5GHz,
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3 6006U,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,29900.0,2GHz,Full HD
